,nodes,degree,betweenness,eigenvector
0,Clinton,0.7037037037037037,0.4938271604938272,0.5432923613038189
1,Trump,0.25925925925925924,0.006647673314339982,0.34140430679035894
2,Hillary Clinton,0.2222222222222222,0.002849002849002849,0.260507647060919
3,Bush,0.37037037037037035,0.22222222222222224,0.3350449889603043
4,Cruz,0.3333333333333333,0.0811965811965812,0.35510546093008805
5,Donald Trump,0.25925925925925924,0.006647673314339982,0.34140430679035894
6,Hillary,0.18518518518518517,0.0014245014245014246,0.17435380331193895
7,Bernie Sanders,0.037037037037037035,0.0,0.08521101007380785
8,Bill Clinton,0.037037037037037035,0.0,0.08521101007380785
9,Clintons,0.037037037037037035,0.0,0.08521101007380785
10,Obama,0.037037037037037035,0.0,0.08521101007380785
11,Romney,0.1111111111111111,0.0,0.06232274593250738
12,Jeb Bush,0.037037037037037035,0.0,0.0525482361018168
13,Ted Cruz,0.07407407407407407,0.0,0.14090576649818518
14,Barack Obama,0.037037037037037035,0.0,0.08521101007380785
15,Jeb,0.037037037037037035,0.0,0.0525482361018168
16,Ryan,0.07407407407407407,0.0,2.277340314206745e-10
17,Kasich,0.1111111111111111,0.0,0.06605467434532124
18,Boehner,0.07407407407407407,0.0,2.277340314206745e-10
19,Paul,0.07407407407407407,0.0,2.277340314206745e-10
20,Bill,0.037037037037037035,0.0,0.08521101007380785
21,Johnson,0.1111111111111111,0.0,0.10106188820725795
22,Abedin,0.14814814814814814,0.0,0.13349534766954985
23,Netanyahu,0.07407407407407407,0.0,2.277340314206745e-10
24,George W. Bush,0.037037037037037035,0.0,0.0525482361018168
25,Scalia,0.07407407407407407,0.0,2.277340314206745e-10
26,Marco Rubio,0.07407407407407407,0.0,0.14090576649818518
27,Joe Biden,0.037037037037037035,0.0,0.08521101007380785
